中日医院,三甲,北京,朝阳,116.430000,39.920000
安贞医院,三甲,北京,朝阳,116.430000,39.920000
北京朝阳医院,三甲,北京,朝阳,116.430000,39.920000
306医院,三甲,北京,朝阳,116.430000,39.920000
医科院肿瘤医院,三甲,北京,朝阳,116.430000,39.920000
儿研所,三甲,北京,朝阳,116.430000,39.920000
北京妇产医院,三甲,北京,朝阳,116.430000,39.920000
航空总医院,三级,北京,朝阳,116.430000,39.920000
望京医院,三甲,北京,朝阳,116.430000,39.920000
北京地坛医院,三甲,北京,朝阳,116.430000,39.920000
煤炭总医院,三级,北京,朝阳,116.430000,39.920000
北京华信医院,三级,北京,朝阳,116.430000,39.920000
民航总医院,三级,北京,朝阳,116.430000,39.920000
北京中医药大学第三附属医院,三甲,北京,朝阳,116.430000,39.920000
北大口腔医院第二门诊部,三甲,北京,朝阳,116.430000,39.920000
垂杨柳医院,三级,北京,朝阳,116.430000,39.920000
北京第一中西医结合医院,三级,北京,朝阳,116.430000,39.920000
朝阳区第三医院,二级,北京,朝阳,116.430000,39.920000
朝阳区妇儿医院,二甲,北京,朝阳,116.430000,39.920000
华府妇儿医院,二级,北京,朝阳,116.430000,39.920000
双桥医院,二级,北京,朝阳,116.430000,39.920000
北京朝阳急诊抢救中心,二级,北京,朝阳,116.430000,39.920000
北大口腔五门诊,三甲,北京,朝阳,116.430000,39.920000
南磨房社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
垡头社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
潘家园医院,一级,北京,朝阳,116.430000,39.920000
朝阳区团结湖社区中心,一级,北京,朝阳,116.430000,39.920000
酒仙桥社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
朝阳区小红门社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
八里庄第二社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
太阳宫社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
六里屯社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
北京市朝阳区望京社区卫生服务中心,一甲,北京,朝阳,116.430000,39.920000
北京市红十字会急救中心,三级,北京,朝阳,116.430000,39.920000
朝阳区中医医院,二甲,北京,朝阳,116.430000,39.920000
安翔里社区卫生服务站,一级,北京,朝阳,116.430000,39.920000
北京市朝阳区望京街道花家地西里社区卫生服务站,一级,北京,朝阳,116.430000,39.920000
北京市朝阳区望京街道南湖中园社区卫生服务站,一级,北京,朝阳,116.430000,39.920000
亚运村社区卫生服务中心,一甲,北京,朝阳,116.430000,39.920000
朝阳区金盏医院,一甲,北京,朝阳,116.430000,39.920000
王四营社区卫生服务中心,一级,北京,朝阳,116.430000,39.920000
双井街道九龙南社区卫生服务站,一级,北京,朝阳,116.430000,39.920000
东里医院,一甲,北京,朝阳,116.430000,39.920000
301医院,三甲,北京,海淀,116.300000,39.950000
北医三院,三甲,北京,海淀,116.300000,39.950000
武警总医院,三甲,北京,海淀,116.300000,39.950000
西苑医院,三甲,北京,海淀,116.300000,39.950000
海军总医院,三甲,北京,海淀,116.300000,39.950000
北大口腔医院,三甲,北京,海淀,116.300000,39.950000
世纪坛医院,三甲,北京,海淀,116.300000,39.950000
304医院,三甲,北京,海淀,116.300000,39.950000
空军总医院,三甲,北京,海淀,116.300000,39.950000
航天中心医院,三级,北京,海淀,116.300000,39.950000
北京肿瘤医院,三甲,北京,海淀,116.300000,39.950000
309医院,三甲,北京,海淀,116.300000,39.950000
海淀医院,三级,北京,海淀,116.300000,39.950000
北医六院,三甲,北京,海淀,116.300000,39.950000
中关村医院,二甲,北京,海淀,116.300000,39.950000
北京老年医院,三级,北京,海淀,116.300000,39.950000
北京中西医结合医院,二甲,北京,海淀,116.300000,39.950000
海淀妇幼保健院,二甲,北京,海淀,116.300000,39.950000
德尔康尼骨科医院,二级,北京,海淀,116.300000,39.950000
上地医院,二级,北京,海淀,116.300000,39.950000
北大口腔三门诊,三甲,北京,海淀,116.300000,39.950000
首医大三博脑科医院,三级,北京,海淀,116.300000,39.950000
甘家口社区卫生服务中心,一甲,北京,海淀,116.300000,39.950000
北京大学医院,二级,北京,海淀,116.300000,39.950000
青云北区社区卫生服务站,一级,北京,海淀,116.300000,39.950000
北京林业大学医院,一甲,北京,海淀,116.300000,39.950000
蓟门里社区卫生服务中心,一级,北京,海淀,116.300000,39.950000
花园路社区卫生服务中心,一级,北京,海淀,116.300000,39.950000
海淀区精神卫生防治院,二级,北京,海淀,116.300000,39.950000
永定路社区卫生服务中心六街坊社区卫生服务站,一级,北京,海淀,116.300000,39.950000
北京四季青医院,二级,北京,海淀,116.300000,39.950000
北京市社会福利医院,二甲,北京,海淀,116.300000,39.950000
海淀区万寿路医院,一甲,北京,海淀,116.300000,39.950000
志新村社区卫生服务站,一级,北京,海淀,116.300000,39.950000
北京科技大学社区卫生服务中心,一级,北京,海淀,116.300000,39.950000
北大医院,三甲,北京,西城,116.370000,39.920000
北大人民医院,三甲,北京,西城,116.370000,39.920000
宣武医院,三甲,北京,西城,116.370000,39.920000
阜外医院,三甲,北京,西城,116.370000,39.920000
积水潭医院,三甲,北京,西城,116.370000,39.920000
北京友谊医院,三甲,北京,西城,116.370000,39.920000
北京儿童医院,三甲,北京,西城,116.370000,39.920000
广安门中医院,三甲,北京,西城,116.370000,39.920000
北京复兴医院,三级,北京,西城,116.370000,39.920000
火箭军总医院,三甲,北京,西城,116.370000,39.920000
北京安定医院,三甲,北京,西城,116.370000,39.920000
305医院,三甲,北京,西城,116.370000,39.920000
北京二龙路医院,三甲,北京,西城,116.370000,39.920000
北京按摩医院,二级,北京,西城,116.370000,39.920000
护国寺中医院,三甲,北京,西城,116.370000,39.920000
北大口腔医院第一门诊部,三甲,北京,西城,116.370000,39.920000
宣武中医院,三级,北京,西城,116.370000,39.920000
北京市第二医院,二甲,北京,西城,116.370000,39.920000
西城区妇幼保健院,二甲,北京,西城,116.370000,39.920000
北京瑞安康复医院,二级,北京,西城,116.370000,39.920000
白纸坊社区卫生服务中心,一级,北京,西城,116.370000,39.920000
北京市阜成门医院,一级,北京,西城,116.370000,39.920000
北京市西城区展览路医院,二级,北京,西城,116.370000,39.920000
广外社区卫生服务中心,二级,北京,西城,116.370000,39.920000
月坛医院,一甲,北京,西城,116.370000,39.920000
陶然亭医院,一级,北京,西城,116.370000,39.920000
西城区德胜社区卫生服务中心,一级,北京,西城,116.370000,39.920000
椿树社区卫生服务中心,一级,北京,西城,116.370000,39.920000
北京核工业医院,一甲,北京,西城,116.370000,39.920000
北京结核病控制研究所,三级,北京,西城,116.370000,39.920000
西城区月坛街道复兴门铁路社区卫生服务站,一级,北京,西城,116.370000,39.920000
中国人民公安大学校医院,一级,北京,西城,116.370000,39.920000
北京市西城区结核病防治所,一级,北京,西城,116.370000,39.920000
北京市西城区平安医院,二甲,北京,西城,116.370000,39.920000
北京协和医院,三甲,北京,东城,116.420000,39.930000
北京天坛医院,三甲,北京,东城,116.420000,39.930000
北京同仁医院,三甲,北京,东城,116.420000,39.930000
北京医院,三甲,北京,东城,116.420000,39.930000
北京中医医院,三甲,北京,东城,116.420000,39.930000
东直门医院,三甲,北京,东城,116.420000,39.930000
陆军总医院,三甲,北京,东城,116.420000,39.930000
